,name,height,weight,Unnamed: 0,Average Rank,Film,Year
0,,,,0.0,1.0,The Godfather,1972.0
1,,,,1.0,2.0,Citizen Kane,1941.0
2,,,,2.0,3.0,Casablanca,1942.0
3,,,,3.0,4.0,"The Godfather, Part II",1974.0
4,,,,4.0,5.0,Singin' in the Rain,1952.0
5,,,,5.0,6.0,Psycho,1960.0
6,,,,6.0,7.0,Rear Window,1954.0
7,,,,7.0,8.0,Apocalypse Now,1979.0
8,,,,8.0,9.0,2001: A Space Odyssey,1968.0
9,,,,9.0,10.0,Seven Samurai,1954.0
10,,,,10.0,11.0,Vertigo,1958.0
11,,,,11.0,12.0,Sunset Blvd,1950.0
12,,,,12.0,13.0,Modern Times,1936.0
13,,,,13.0,14.0,Lawrence of Arabia,1962.0
14,,,,14.0,15.0,North by Northwest,1959.0
15,,,,15.0,16.0,Star Wars,1977.0
16,,,,16.0,17.0,Parasite,2019.0
17,,,,17.0,18.0,Schindler's List,1993.0
18,,,,18.0,19.0,Lord of the Rings: The Fellowship of the Ring,2001.0
19,,,,19.0,20.0,Shawshank Redemption,1994.0
20,,,,20.0,21.0,It's a Wonderful Life,1946.0
21,,,,21.0,22.0,Pulp Fiction,1994.0
22,,,,22.0,23.0,Avengers: Endgame,2019.0
23,,,,23.0,24.0,City Lights,1931.0
24,,,,24.0,25.0,One Flew Over the Cuckoo's Nest,1975.0
25,,,,25.0,26.0,Goodfellas,1990.0
26,,,,26.0,27.0,Raiders of the Lost Ark,1981.0
27,,,,27.0,28.0,12 Angry Men,1957.0
28,,,,28.0,29.0,The Silence of the Lambs,1991.0
29,,,,29.0,30.0,Taxi Driver,1976.0
30,,,,30.0,31.0,Saving Private Ryan,1998.0
31,,,,31.0,32.0,E.T. the Extra Terrestrial,1982.0
32,,,,32.0,33.0,Alien,1979.0
33,,,,33.0,34.0,Spider-Man: Into the Spider-verse,2018.0
34,,,,34.0,35.0,Blade Runner,1982.0
35,,,,35.0,36.0,Double Indemnity,1944.0
36,,,,36.0,37.0,The Dark Knight,2008.0
37,,,,37.0,38.0,"<a href=""/web/20230902185655/https://en.everybodywiki.com/The_Wizard_of_Oz_(1939_film)"" title=""The Wizard of Oz (1939 film)"">The Wizard of Oz</a>",1939.0
38,,,,38.0,39.0,Star Wars: Episode V- The Empire Strikes Back,1980.0
39,,,,39.0,40.0,The Searchers,1956.0
40,,,,40.0,41.0,Mad Max: Fury Road,2015.0
41,,,,41.0,42.0,Inception,2010.0
42,,,,42.0,43.0,Lord of the Rings: Return of the King,2003.0
43,,,,43.0,44.0,The Matrix,1999.0
44,,,,44.0,45.0,Fight Club,1999.0
45,,,,45.0,46.0,Back to the Future,1985.0
46,,,,46.0,47.0,It Happened One Night,1934.0
47,,,,47.0,48.0,"The Good, the Bad, and the Ugly",1966.0
48,,,,48.0,49.0,Lord of the Rings: The Two Towers,2002.0
49,,,,49.0,50.0,All About Eve,1950.0
